0.25,20.9,3.4,-0.22,17.33,0,276.94,0
0.83,40,3.29,-1.8,34.96,0,168.99,0
1.38,51.5,2.96,-1.55,51.34,0,141.01,0
1.85,67.9,3.45,5.01,61.73,0,81.24,0
2.68,80.2,2.93,12.54,60.49,0,46.01,0
3.19,83.3,3.08,16.68,63.17,0,41.4,0
3.68,91.4,2.83,20.19,65.14,0,30.23,0
4.13,102,5.4,22.31,66.32,0,24.2,0
5.23,105,4.21,25.63,64.52,0,9.48,0
6.05,109,2.1,27.28,60.09,0,3.57,0
6.81,108,2.1,28.58,55.74,0,2.78,0
7.56,109,2.1,30.7,53.61,0,2.04,0
8.32,110,2.1,33.83,51.18,0,1.21,0
9.09,111,2.33,35.49,49.08,0,0.72,0
9.86,112,4.74,33.74,46.34,0,0,0
